idna_subject,checker_type,destination,tested_at
staging.coinmama.com,AVAILABILITY,origin.list,2022-10-12 05:54:34.250971
widget.coinmama.com,AVAILABILITY,origin.list,2022-10-12 05:54:34.516792
www.icerockmining.io,AVAILABILITY,origin.list,2022-10-12 05:54:35.121080
api.inwemo.com,AVAILABILITY,origin.list,2022-10-12 05:54:35.284566
ada.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:35.518644
1inch.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:35.667726
act.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:35.706715
aion.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:36.250923
ae.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:36.603672
aave_eth.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:36.702419
api.ledgerwallet.com,AVAILABILITY,origin.list,2022-10-12 05:54:36.766387
api.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:36.860014
arweave.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:37.514707
0134b94.ada.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:37.876843
apps.ledgerwallet.com,AVAILABILITY,origin.list,2022-10-12 05:54:38.028600
axe.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:38.097957
www.safelinkconverter.com,AVAILABILITY,origin.list,2022-10-12 05:54:38.130270
bcn.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:38.798243
bca.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:39.320451
bat.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:39.690673
atom.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:39.747347
atomic_coin.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:39.761493
bch.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:40.069689
bay.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:40.813169
alpha.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:40.878200
api02.ledgerwallet.com,AVAILABILITY,origin.list,2022-10-12 05:54:41.141623
bci.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:41.359893
api01.ledgerwallet.com,AVAILABILITY,origin.list,2022-10-12 05:54:41.462306
bchsv.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:41.783882
binance.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:41.854588
binance_coin.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:42.232237
bhd.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:42.521066
belotto.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:42.669372
bcc.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:42.910460
blog.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:43.029105
block.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:43.798294
blockstack.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:44.173549
aur.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:44.183406
bittorrentt.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:44.201410
bsv.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:44.207334
bnb.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:44.942759
www.pre-launch.update.10xbitcoin.com,AVAILABILITY,origin.list,2022-10-12 05:54:45.363711
btcz.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:45.406209
bcd.tokenview.com,AVAILABILITY,origin.list,2022-10-12 05:54:45.426782
