idna_subject,checker_type,destination,source,tested_at,session_id
02.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:15.874800,b75507ea0dd1edc22d57d944
01.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:15.924694,b75507ea0dd1edc22d57d944
0xbtc.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:16.593332,b75507ea0dd1edc22d57d944
1inch.tokenview.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:17.900366,b75507ea0dd1edc22d57d944
1safe.link,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:19.895844,b75507ea0dd1edc22d57d944
10xbitcoin.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:25.447559,b75507ea0dd1edc22d57d944
0-100pool.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:25.575769,b75507ea0dd1edc22d57d944
53.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:26.936801,b75507ea0dd1edc22d57d944
12.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:27.464776,b75507ea0dd1edc22d57d944
11.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:28.303049,b75507ea0dd1edc22d57d944
191.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:34.550143,b75507ea0dd1edc22d57d944
803mine.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:37.474562,b75507ea0dd1edc22d57d944
1209.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:37.725904,b75507ea0dd1edc22d57d944
1445.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:39.558898,b75507ea0dd1edc22d57d944
a-ads.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:45.115641,b75507ea0dd1edc22d57d944
154-49.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:45.647401,b75507ea0dd1edc22d57d944
154-102.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:45.654392,b75507ea0dd1edc22d57d944
0134b94.ada.tokenview.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:45.677346,b75507ea0dd1edc22d57d944
academy.bithumb.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:50.888614,b75507ea0dd1edc22d57d944
acceptable.a-ads.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:54.860103,b75507ea0dd1edc22d57d944
aave_eth.tokenview.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:55.949204,b75507ea0dd1edc22d57d944
about.mycrypto.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:56.430668,b75507ea0dd1edc22d57d944
act.tokenview.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:29:56.492720,b75507ea0dd1edc22d57d944
ad.a-ads.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:04.116728,b75507ea0dd1edc22d57d944
adconity.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:06.912057,b75507ea0dd1edc22d57d944
adserver.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:07.469564,b75507ea0dd1edc22d57d944
ada.tokenview.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:10.068567,b75507ea0dd1edc22d57d944
ae.tokenview.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:10.093457,b75507ea0dd1edc22d57d944
affiliates.coinmama.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:14.182088,b75507ea0dd1edc22d57d944
alpha3.blocktrail.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:18.073885,b75507ea0dd1edc22d57d944
aion.tokenview.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:20.232176,b75507ea0dd1edc22d57d944
altsbit.com,AVAILABILITY,origin.list,origin.list,2022-04-15 05:30:21.933588,b75507ea0dd1edc22d57d944
